"filename", "language", "JSON", "JSON with Comments", "JavaScript", "vue", "Markdown", "SCSS", "CSS", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"c:\code\vue\ScholarSHIP-FRONT\README.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 14, 36
"c:\code\vue\ScholarSHIP-FRONT\auto-imports.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 5, 2, 10
"c:\code\vue\ScholarSHIP-FRONT\components.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 2, 57
"c:\code\vue\ScholarSHIP-FRONT\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\code\vue\ScholarSHIP-FRONT\jsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\code\vue\ScholarSHIP-FRONT\package-lock.json", "JSON", 13085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13086
"c:\code\vue\ScholarSHIP-FRONT\package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\code\vue\ScholarSHIP-FRONT\src\App.vue", "vue", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 5, 21, 111
"c:\code\vue\ScholarSHIP-FRONT\src\apis\user.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"c:\code\vue\ScholarSHIP-FRONT\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 2, 14, 75
"c:\code\vue\ScholarSHIP-FRONT\src\assets\font\font.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\code\vue\ScholarSHIP-FRONT\src\assets\images\bgc1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\code\vue\ScholarSHIP-FRONT\src\assets\images\signin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\code\vue\ScholarSHIP-FRONT\src\assets\images\signup.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\code\vue\ScholarSHIP-FRONT\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\code\vue\ScholarSHIP-FRONT\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\code\vue\ScholarSHIP-FRONT\src\components\header.vue", "vue", 0, 0, 0, 342, 0, 0, 0, 0, 0, 0, 0, 53, 395
"c:\code\vue\ScholarSHIP-FRONT\src\main.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 15, 9, 53
"c:\code\vue\ScholarSHIP-FRONT\src\mock\index.js", "JavaScript", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 6, 168
"c:\code\vue\ScholarSHIP-FRONT\src\router\index.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 1, 3, 79
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\dark\content.css", "CSS", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 13, 1, 73
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\dark\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\default\content.css", "CSS", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 13, 1, 68
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\default\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\document\content.css", "CSS", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 13, 1, 73
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\document\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\writer\content.css", "CSS", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 13, 1, 69
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\content\writer\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.css", "CSS", 0, 0, 0, 0, 0, 0, 697, 0, 0, 0, 17, 1, 715
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.inline.css", "CSS", 0, 0, 0, 0, 0, 0, 710, 0, 0, 0, 16, 1, 727
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.mobile.css", "CSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 8, 1, 30
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.css", "CSS", 0, 0, 0, 0, 0, 0, 3025, 0, 0, 0, 22, 1, 3048
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.mobile.css", "CSS", 0, 0, 0, 0, 0, 0, 643, 0, 0, 0, 30, 1, 674
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.shadowdom.css", "CSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 1, 38
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide-dark\skin.shadowdom.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.css", "CSS", 0, 0, 0, 0, 0, 0, 716, 0, 0, 0, 16, 1, 733
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.inline.css", "CSS", 0, 0, 0, 0, 0, 0, 710, 0, 0, 0, 16, 1, 727
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.mobile.css", "CSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 8, 1, 30
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.css", "CSS", 0, 0, 0, 0, 0, 0, 3025, 0, 0, 0, 22, 1, 3048
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.mobile.css", "CSS", 0, 0, 0, 0, 0, 0, 643, 0, 0, 0, 30, 1, 674
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.shadowdom.css", "CSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 1, 38
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\skins\ui\oxide\skin.shadowdom.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 8
"c:\code\vue\ScholarSHIP-FRONT\src\static\tinymce\zh-Hans.js", "JavaScript", 0, 0, 412, 0, 0, 0, 0, 0, 0, 0, 3, 1, 416
"c:\code\vue\ScholarSHIP-FRONT\src\stores\library.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\code\vue\ScholarSHIP-FRONT\src\stores\scholar.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\code\vue\ScholarSHIP-FRONT\src\stores\userStore.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 7, 51
"c:\code\vue\ScholarSHIP-FRONT\src\styles\common.scss", "SCSS", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 14, 8, 116
